Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,14,1,0
3,6,0,1,13,1,-1
3,5,0,1,12,1,-1
3,4,0,1,10,1,-1
3,3,0,1,9,0,-1
3,2,0,1,8,0,-1
3,1,0,1,6,0,-1
3,0,0,1,5,0,-1
0,0,1,1,6,0,-1
0,0,2,1,5,0,-1
0,0,3,1,4,0,-1
0,0,4,1,3,0,-1
0,0,5,1,3,2,-1
0,0,6,1,4,2,-1
0,0,7,1,4,3,-1
0,0,8,1,4,4,-1
0,0,9,1,4,5,-1
0,0,10,1,4,6,-1
0,0,11,1,3,7,-1
0,0,12,1,3,8,-1
2,0,11,1,1,8,-1
0,0,12,1,1,7,-1
0,0,13,1,1,9,-1
1,1,13,1,1,10,-1
0,1,14,1,1,11,-1
1,2,14,1,1,13,-1
1,3,14,1,1,14,-1
1,4,14,1,2,14,-1
1,5,14,1,4,14,-1
1,6,14,1,5,14,-1
1,7,14,1,6,14,999
1,7,14,1,6,14,999
